source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.93637848, 40.85299301)", ,21.23000,29.350, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.80701447, 40.67621994)', '(-73.75695038, 40.66144943)']"
"(-73.785924, 40.645134)","(-73.93638611, 40.68108368)", ,10.53000,16.720, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79044342, 40.64670563)', '(-73.85007477, 40.72341537)', '(-73.84064484, 40.70095444)']"
"(-73.785924, 40.645134)","(-73.93639374, 40.68969345)", ,10.60000,17.560, , ,,,"(-73.93639374, 40.68969345):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93643188, 40.58737183)", ,13.32000,16.840, , ,,,"(-73.93643188, 40.58737183):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93650818, 40.73623657)", ,14.74000,20.320, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.85577393, 40.83128357)']"
"(-73.785924, 40.645134)","(-73.93653107, 40.81564331)", ,18.37000,26.670, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.82273102, 40.77524948)', '(-73.92495728, 40.77360535)', '(-73.80596161, 40.66585159)']"
"(-73.785924, 40.645134)","(-73.93654633, 40.70645142)", ,11.36000,18.060, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.80912781, 40.64936829)']"
"(-73.785924, 40.645134)","(-73.93656158, 40.81240463)","(-73.87075043, 40.77399445)",18.06000,25.870,12.39000,17.720,25.32500,24.310,Matched
"(-73.785924, 40.645134)","(-73.93657684, 40.70580292)", ,11.28000,17.950, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.87349701, 40.72670746)']"
"(-73.785924, 40.645134)","(-73.93657684, 40.8022995)", ,17.47000,25.140, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.82933807, 40.87526321)', '(-73.87732697, 40.71128082)', '(-73.83699799, 40.68421555)', '(-73.78090668, 40.64649963)']"
"(-73.785924, 40.645134)","(-73.9365921, 40.70580673)", ,11.28000,17.940, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78928375, 40.64289093)']"
"(-73.785924, 40.645134)","(-73.93662262, 40.81401825)","(-73.91738892, 40.76363754)",18.22000,26.230,14.67000,20.940,27.78500,26.180,Matched
"(-73.785924, 40.645134)","(-73.93664551, 40.71453094)", ,12.09000,19.060, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.88710785, 40.75154114)']"
"(-73.785924, 40.645134)","(-73.93669891, 40.68181229)", ,10.40000,16.720, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.91428375, 40.6974678)']"
"(-73.785924, 40.645134)","(-73.93669891, 40.83733749)", ,21.53000,30.360, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.84185791, 40.72224045)', '(-73.84934235, 40.69544601)', '(-73.87445831, 40.76378632)', '(-73.82111359, 40.84677124)', '(-73.82933807, 40.87526321)', '(-73.87732697, 40.71128082)', '(-73.83699799, 40.68421555)', '(-73.78090668, 40.64649963)']"
"(-73.785924, 40.645134)","(-73.93676758, 40.7567215)","(-73.85675812, 40.71683502)",15.88000,22.630,8.70000,13.320,20.01500,19.870,Matched
"(-73.785924, 40.645134)","(-73.93676758, 40.79853439)", ,17.58000,25.040, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.84709167, 40.72471237)', '(-73.87047577, 40.77373123)', '(-73.84356689, 40.7215538)', '(-73.89661407, 40.69522476)', '(-73.87335968, 40.77418137)', '(-73.87304688, 40.77431488)', '(-73.79145813, 40.70466614)', '(-73.86601257, 40.81815338)']"
"(-73.785924, 40.645134)","(-73.9367981, 40.70578003)", ,11.27000,17.900, , ,,,"(-73.9367981, 40.70578003):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93680573, 40.81497574)", ,18.31000,26.540, , ,,,"(-73.93680573, 40.81497574):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93689728, 40.75014877)","(-73.89112091, 40.66863251)",15.59000,21.920,8.61000,13.430,19.57000,21.970,Matched
"(-73.785924, 40.645134)","(-73.93689728, 40.75471878)","(-73.91013336, 40.7085228)",15.86000,22.290,11.09000,18.260,22.23500,23.330,Matched
"(-73.785924, 40.645134)","(-73.93691254, 40.58430862)", ,13.43000,17.330, , ,,,"(-73.93691254, 40.58430862):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93694305, 40.66566086)","(-73.85181427, 40.66441345)",10.62000,16.580,5.75000,10.180,14.04000,16.100,Matched
"(-73.785924, 40.645134)","(-73.93698883, 40.85494232)","(-73.87783813, 40.74575424)",21.40000,29.570,11.81000,17.500,26.59500,27.850,Matched
"(-73.785924, 40.645134)","(-73.93702698, 40.70575333)","(-73.93258667, 40.70620346)",11.26000,17.850,11.35000,18.270,20.18500,18.100,Matched
"(-73.785924, 40.645134)","(-73.93704224, 40.84154892)","(-73.83834076, 40.72089005)",21.34000,30.280,7.64000,11.020,22.78000,24.710,Matched
"(-73.785924, 40.645134)","(-73.93704987, 40.85132599)", ,21.11000,29.090, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79599762, 40.66767883)', '(-73.88014221, 40.76926041)', '(-73.8342514, 40.69606018)', '(-73.88275146, 40.745327)', '(-73.79602051, 40.66769028)', '(-73.83451843, 40.70545578)', '(-73.88166046, 40.75061417)', '(-73.74913025, 40.69005203)', '(-73.77154541, 40.72045517)', '(-73.88503265, 40.7484436)', '(-73.78334808, 40.67971039)', '(-73.88667297, 40.75202179)', '(-73.77453613, 40.68317032)']"
"(-73.785924, 40.645134)","(-73.93707275, 40.66448593)", ,10.54000,16.260, , ,,,"(-73.93707275, 40.66448593): D2: (-73.87345123, 40.77426147)row not found in NewTripsRequests table"
"(-73.785924, 40.645134)","(-73.93708801, 40.63334656)", ,11.07000,18.520, , ,,,"(-73.93708801, 40.63334656):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.93708801, 40.68999481)", ,11.16000,18.980, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.77867889, 40.64669037)']"
"(-73.785924, 40.645134)","(-73.93709564, 40.85430527)","(-73.83432007, 40.66962814)",21.35000,29.500,4.63000,8.910,19.38000,28.760,Matched
