source_coords,dest1_coords,dest2_coords,ret_angle,source_D1_distance(in miles),source_D1_time(in minutes),source_D1_avg_speed(per minute),original_cost$2,original_cost$2.5,original_cost$3,original_cost$4,original_accepted_delay,D1_D2_distance(in miles),D1_D2_time(in minutes),D1_D2_avg_speed(per minute),D1_D2_cost$2,D1_D2_cost$2.5,D1_D2_cost$3,D1_D2_cost$4
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.76650238, 40.60467148)",2.82,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,19.87,29.42,0.68,39.74,49.675000000000004,59.61,79.48
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96258545, 40.69010544)",102.62,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,5.07,11.56,0.44,10.14,12.675,15.21,20.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9736557, 40.75695038)",179.9,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.14,7.66,0.41,6.28,7.8500000000000005,9.42,12.56
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.77544403, 40.76274872)",10.41,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,12.53,18.71,0.67,25.06,31.325,37.589999999999996,50.12
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.01057434, 40.70459366)",158.83,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,7.07,14.92,0.47,14.14,17.675,21.21,28.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.96231079, 40.79499054)",123.21,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.57,12.57,0.52,13.14,16.425,19.71,26.28
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.9916687, 40.70331955)",152.15,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,6.13,13.27,0.46,12.26,15.325,18.39,24.52
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-74.00403595, 40.73950958)",168.51,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.76,12.41,0.38,9.52,11.899999999999999,14.28,19.04
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.79129791, 40.65498734)",0.17,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,14.17,21.45,0.66,28.34,35.425,42.51,56.68
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.99858093, 40.6076088)",128.71,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,12.24,25.21,0.49,24.48,30.6,36.72,48.96
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.95474243, 40.69257355)",74.87,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,4.53,10.97,0.41,9.06,11.325000000000001,13.59,18.12
"(-73.77685547, 40.64508438)","(-73.95635986, 40.74699783)","(-73.97969055, 40.73094559)",160.23,16.09,24.21,0.66,32.18,40.225,48.269999999999996,64.36,12.105,3.71,9.94,0.37,7.42,9.275,11.129999999999999,14.84
