source_coords,dest1_coords,dest2_coords,source_D1_distance(in miles),source_D1_time(in minutes),source_D2_distance(in miles),source_D2_time(in minutes),total_shared_distance,total_shared_time,Matched_NoMatched
"(-73.785924, 40.645134)","(-73.82215118, 40.76200867)", ,10.75000,15.420, , ,,,"(-73.82215118, 40.76200867):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.82274628, 40.68207932)", ,4.58000,8.260, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.68244934, 40.73498535)', '(-73.78891754, 40.64305115)', '(-73.75619507, 40.69025421)']"
"(-73.785924, 40.645134)","(-73.8229599, 40.7582283)", ,10.75000,15.260, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.75328827, 40.70755768)', '(-73.77976227, 40.66661072)']"
"(-73.785924, 40.645134)","(-73.82331085, 40.72621536)", ,7.76000,10.540, , ,,,"(-73.82331085, 40.72621536):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.82338715, 40.72462082)", ,7.82000,10.740, , ,,,"(-73.82338715, 40.72462082):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.82391357, 40.72532272)", ,7.78000,10.700, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.78307343, 40.64385986)']"
"(-73.785924, 40.645134)","(-73.82415771, 40.66038132)", ,4.23000,7.490, , ,,,"(-73.82415771, 40.66038132):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.82472229, 40.7229538)", ,8.03000,11.600, , ,,,"(-73.82472229, 40.7229538):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.82501221, 40.76563644)", ,11.11000,15.410, , ,,,"(-73.82501221, 40.76563644):Not present in PreComputed rows or does not have angle <= 30"
"(-73.785924, 40.645134)","(-73.82505035, 40.75772858)", ,10.63000,14.980, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.74607086, 40.66344833)']"
"(-73.785924, 40.645134)","(-73.82505798, 40.68148041)", ,4.68000,8.710, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79402924, 40.65670776)']"
"(-73.785924, 40.645134)","(-73.82514191, 40.66161728)", ,4.23000,7.670, , ,,,"(-73.82514191, 40.66161728):Delay constraint failed"
"(-73.785924, 40.645134)","(-73.82684326, 40.69949341)", ,6.49000,9.540, , ,,,"Probable Match already taken, no other matches found from candidates :['(-73.79933167, 40.6672554)', '(-73.77322388, 40.71449661)']"
